#Fourier terms and their errors
#R-Radius in arcsec; PA-Positional angle in radians; er_PA- error of the positional angle,
#q-flattening, er_q-error of the flattening, k0,k51-Fourier terms (where k51=k5/k1); erk0,erk51-Fourier terms errors
#
# R[arcsec]    PA[rad]   er_PA[rad]      q        er_q     k0[km/s]   erk0[km/s]    k51    erk51
    1.0000     0.0873     0.0000     0.6994     0.0000   193.7708     0.2256     0.5896     0.1421
    2.1000     0.0873     0.0000     0.6994     0.0000   193.3806     0.2200     0.3537     0.1195
    3.2100     0.0873     0.0000     0.6994     0.0000   191.9977     0.1773     1.1472     0.4166
    4.3310     0.0873     0.0000     0.6994     0.0000   187.7437     0.1527     0.8521     0.0558
    5.4641     0.0873     0.0000     0.6994     0.0000   184.2213     0.1361     1.0087     0.0534
    6.6105     0.0873     0.0000     0.6994     0.0000   182.0432     0.1232     1.7618     0.1130
    7.7716     0.0873     0.0000     0.6994     0.0000   176.0860     0.1140     0.6616     0.0852
    8.9487     0.0873     0.0000     0.6994     0.0000   171.7186     0.1060     0.8165     0.0692
   10.1436     0.0873     0.0000     0.6994     0.0000   165.0380     0.1000     2.4428     0.1665
   11.3579     0.0873     0.0000     0.6994     0.0000   160.4574     0.1000     1.6632     0.0882
   12.5937     0.0873     0.0000     0.6994     0.0000   156.3380     0.1000     1.8049     0.0798
   13.8531     0.0873     0.0000     0.6994     0.0000   147.1314     0.1000     0.4073     0.0441
   15.1384     0.0873     0.0000     0.6994     0.0000   143.5793     0.1000     0.4293     0.0397
   16.4523     0.0873     0.0000     0.6994     0.0000   139.1576     0.1000     0.2422     0.0674
   17.7975     0.0873     0.0000     0.6994     0.0000   134.1134     0.1023     0.2589     0.0222
   19.1772     0.0873     0.0000     0.6994     0.0000   131.3320     0.2524     1.8350     0.1277
