#Fourier terms and their errors
#R-Radius in arcsec; PA-Positional angle in radians; er_PA- error of the positional angle,
#q-flattening, er_q-error of the flattening, k1,k51-Fourier terms (where k51=k5/k1); erk1,erk51-Fourier terms errors
#
#R[arcsec]    PA[rad]   er_PA[rad]      q        er_q     k1[km/s]   erk1[km/s]    k51    erk51   Vsys [km/s]
    1.0000     0.0873     0.0000     0.6994     0.0000    18.5624     0.6296     0.0267     0.0346  2299.7266
    2.1000     0.0873     0.0000     0.6994     0.0000    35.2561     0.7821     0.0151     0.0213  2298.3801
    3.2100     0.0873     0.0000     0.6994     0.0000    53.7217     0.5714     0.0314     0.0107  2298.3623
    4.3310     0.0873     0.0000     0.6994     0.0000    65.2453     0.5842     0.0202     0.0087  2297.5999
    5.4641     0.0873     0.0000     0.6994     0.0000    78.2983     0.6298     0.0158     0.0077  2298.9404
    6.6105     0.0873     0.0000     0.6994     0.0000    85.6141     0.5898     0.0188     0.0067  2298.0906
    7.7716     0.0873     0.0000     0.6994     0.0000    91.6755     0.6504     0.0109     0.0066  2298.4302
    8.9487     0.0873     0.0000     0.6994     0.0000   102.1366     0.6700     0.0087     0.0062  2299.3618
   10.1436     0.0873     0.0000     0.6994     0.0000   113.0903     0.6301     0.0142     0.0054  2300.6404
   11.3579     0.0873     0.0000     0.6994     0.0000   120.4364     0.6657     0.0317     0.0053  2300.0071
   12.5937     0.0873     0.0000     0.6994     0.0000   125.2404     0.6655     0.0190     0.0050  2299.9263
   13.8531     0.0873     0.0000     0.6994     0.0000   130.9688     0.7194     0.0087     0.0053  2299.9778
   15.1384     0.0873     0.0000     0.6994     0.0000   134.4395     0.7552     0.0125     0.0055  2299.1799
   16.4523     0.0873     0.0000     0.6994     0.0000   137.9791     0.7754     0.0157     0.0054  2299.7190
   17.7975     0.0873     0.0000     0.6994     0.0000   142.3454     0.8606     0.0060     0.0059  2301.5149
   19.1772     0.0873     0.0000     0.6994     0.0000   146.9812     1.2880     0.0109     0.0067  2302.1272
